obs_date_time,JD,target_name,rel_flux,blue_over_red,comp_blue_over_red,target_flux,comp_name,comp_flux,airmass,rolling_average_window_size
2024-02-26 05:26:55.343012,2460366.727029433,KELT-4,0.9991451310680549,1.0888077690527775,1.0892352527400484,19966743.835569836,TYC 1973-1054-1,20233203.37588497,1.0071603,30
2024-02-26 05:39:08.488060,2460366.735514908,KELT-4,1.0037319230918178,1.0887630817051057,1.086412965386894,19970631.166498296,TYC 1973-1054-1,20141827.367445175,1.0065612,30
2024-02-26 06:16:31.343004,2460366.7614738774,KELT-4,1.0138715957774536,1.0934321682832033,1.0723932879906146,20027213.89422657,TYC 1973-1054-1,19999365.28780271,1.0065569333333333,30
2024-02-26 06:17:40.324001,2460366.7622722685,KELT-4,1.0114349807951097,1.08501141100551,1.0609324763872638,19825344.044069324,TYC 1973-1054-1,19842736.125234302,1.0066385666666666,30
2024-02-26 06:19:58.352019,2460366.763869815,KELT-4,1.0127590112074183,1.0784086048194443,1.047867992041301,19808196.518560253,TYC 1973-1054-1,19792104.999123838,1.0068079,30
2024-02-26 06:21:07.342995,2460366.7646683217,KELT-4,1.0234027239181178,1.0855454676031517,1.049795359810779,19931320.17028682,TYC 1973-1054-1,19676952.29094802,1.0070400333333334,30
2024-02-26 06:24:34.346982,2460366.767064201,KELT-4,1.0243810523559462,1.0834006325672447,1.0422830870005104,19997728.694808606,TYC 1973-1054-1,19723368.05674769,1.0073984666666667,30
2024-02-26 06:29:10.342990,2460366.7702585994,KELT-4,1.0146886713708623,1.075379141914503,1.043756413647649,19969902.14101152,TYC 1973-1054-1,19903296.129603207,1.0079218666666667,30
2024-02-26 06:30:19.348007,2460366.7710572686,KELT-4,1.0049886682971674,1.0720118373486023,1.0326058094442268,19850250.176544946,TYC 1973-1054-1,19988253.505446058,1.0085972333333335,30
2024-02-26 06:31:28.343972,2460366.771855833,KELT-4,1.0007517167811504,1.0713926689717603,1.0346250130626222,19719250.795516666,TYC 1973-1054-1,19937868.58605634,1.0093319333333333,30
2024-02-26 06:36:04.312984,2460366.775049919,KELT-4,1.011842848849756,1.067246249367798,1.0087025834373056,19818256.43087627,TYC 1973-1054-1,19786864.121222574,1.0102483333333334,30
2024-02-26 06:40:40.347013,2460366.778244757,KELT-4,1.0029158928190776,1.0690764317628885,0.9838720685778234,19743008.238031603,TYC 1973-1054-1,19913938.3849722,1.0113734,30
2024-02-26 06:41:49.348047,2460366.77904338,KELT-4,0.9965312413911634,1.0664611058496716,1.002997589711091,19655492.08789428,TYC 1973-1054-1,19955322.51951117,1.0125618333333333,30
2024-02-26 06:44:47.400994,2460366.781104178,KELT-4,1.003759581244211,1.0792407092912872,1.0054396049946288,19772477.818730578,TYC 1973-1054-1,19925070.427186016,1.0138895666666667,30
2024-02-26 06:48:14.348010,2460366.7834993983,KELT-4,1.0093019704329766,1.0779189420286548,0.9828014820842196,19802618.329893176,TYC 1973-1054-1,19840467.065796968,1.0153721333333334,30
2024-02-26 06:50:32.342997,2460366.7850965625,KELT-4,1.0051317382227472,1.0818605599182816,0.9895438138156558,19762273.90778741,TYC 1973-1054-1,19882169.61396886,1.0169714,30
2024-02-26 06:52:50.346996,2460366.786693831,KELT-4,1.0089329885613074,1.071975798861953,1.0071241701777893,19792199.311740756,TYC 1973-1054-1,19838486.924308702,1.0186920666666668,30
2024-02-26 06:55:08.342989,2460366.788291007,KELT-4,1.016204239263724,1.0684425853481454,1.002157743424118,19853145.834990155,TYC 1973-1054-1,19753523.529551294,1.0205520666666668,30
