obs_date_time,JD,airmass,target_name,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-04-06 01:50:49.822,2460771.5769655323,1.625525,XO-6,1003317.1065216521,959305.5481893227,1515030.3451032643,1.5100214431264352,TYC 4357-177-1,287812.8853998094,291211.8457445384,526176.2734436142,1.8281887300239779
2025-04-06 01:51:33.576,2460771.5774719445,1.62705,XO-6,988498.0154592444,949349.983370865,1560664.0278436306,1.5788236328613818,TYC 4357-177-1,352737.7303925546,289692.3614590449,506184.22585187934,1.4350158268823618
2025-04-06 01:52:17.222,2460771.5779771064,1.628621,XO-6,1016576.2373275983,975373.8259205768,1555351.4293647164,1.529989952798291,TYC 4357-177-1,354577.2401109006,299224.1445910263,523172.5710765054,1.4754826646878787
2025-04-06 01:53:01.178,2460771.5784858563,1.630153,XO-6,851595.4339884464,996173.1974222771,1540107.5415904955,1.808496711140645,TYC 4357-177-1,301855.5511022608,335371.7941316408,534620.759020131,1.7711145515393067
2025-04-06 01:53:44.864,2460771.5789914816,1.631672,XO-6,1048003.7658977563,1008033.0553701441,1634299.951053181,1.5594409144638741,TYC 4357-177-1,284782.3395933124,356441.67792415706,547412.2563145051,1.9222127927463664
2025-04-06 01:54:49.545,2460771.5797401043,1.633915,XO-6,971535.4931598331,903985.8228567697,1512777.7960404444,1.557099876114941,TYC 4357-177-1,277306.4898085347,275628.2050621037,503033.72165724105,1.8139990953856109
2025-04-06 01:55:33.295,2460771.58024647,1.635548,XO-6,992033.2402680067,972144.7140750826,1520741.6745653008,1.532954353580389,TYC 4357-177-1,285258.19360625587,283172.7948879102,525597.5713400136,1.842532775992756
2025-04-06 01:56:17.203,2460771.5807546643,1.637165,XO-6,1069270.2954163738,989682.5458857183,1494321.5374405065,1.3975152436630793,TYC 4357-177-1,284544.8271617529,294510.3552482852,533106.2366204116,1.8735404257317987
2025-04-06 01:57:01.246,2460771.5812644213,1.638785,XO-6,995231.8741824848,937703.026785568,1551145.9151907493,1.558577408370195,TYC 4357-177-1,328926.6500002758,283058.9459997784,515378.7392805001,1.566850053895201
2025-04-06 01:57:45.071,2460771.581771655,1.640357,XO-6,1016910.01519986,969139.5453663511,1573662.1552307662,1.547494008033232,TYC 4357-177-1,286885.785801331,348221.5936280156,508948.8087355025,1.7740467946639593
2025-04-06 01:58:28.789,2460771.5822776505,1.641937,XO-6,1015063.4673402329,961320.2461593426,1525015.2077520941,1.5023840940193482,TYC 4357-177-1,274369.4436819221,294774.5437741258,538422.7026851262,1.9624003878118528
2025-04-06 01:59:12.829,2460771.5827873726,1.643512,XO-6,1042066.9441301621,983445.3357005785,1508853.2955211357,1.4479427679961685,TYC 4357-177-1,297012.9731507839,287038.8992354186,522235.4512955409,1.7582917195688244
2025-04-06 01:59:56.667,2460771.583294757,1.645113,XO-6,1026817.4445409685,963599.0524661242,1572759.1689193996,1.5316833360018445,TYC 4357-177-1,269832.78618697857,291135.83017595,518474.5587536942,1.921466127523959
2025-04-06 02:00:40.596,2460771.5838031946,1.646645,XO-6,1004554.5010366194,955776.8530159767,1553031.7862529322,1.5459905705965464,TYC 4357-177-1,287035.6962956174,298011.03304286406,514186.48564042314,1.7913677367530751
2025-04-06 02:01:24.605,2460771.5843125577,1.648276,XO-6,1009696.862340545,971754.1957442749,1607235.7954286803,1.5918003267861998,TYC 4357-177-1,285178.2178128472,291933.5312550119,512912.9553624825,1.7985698883183636
2025-04-06 02:02:28.578,2460771.585052986,1.650662,XO-6,996556.162801721,960760.7171352566,1544527.95476601,1.5498654390172244,TYC 4357-177-1,360492.2283537218,297879.8534142125,548096.298983269,1.5204108601350113
2025-04-06 02:03:12.316,2460771.585559213,1.652287,XO-6,1018269.2451525806,988886.5935275258,1558075.3255713773,1.5301211668608439,TYC 4357-177-1,299226.67244943586,402129.4499887341,532333.2999568284,1.7790302435247762
2025-04-06 02:03:56.262,2460771.5860678474,1.653922,XO-6,999549.6019627015,1020996.7435124743,1369415.6465896463,1.370032706631748,TYC 4357-177-1,293740.6269810303,385138.8786794529,529010.3626395134,1.8009438056849958
2025-04-06 02:04:40.076,2460771.5865749535,1.65557,XO-6,969022.789490849,928586.9128096275,1547974.3969308508,1.5974592277073265,TYC 4357-177-1,320402.387733325,284038.41824024013,515330.3349199592,1.6083848143755881
2025-04-06 02:05:23.897,2460771.587082141,1.65726,XO-6,1038728.7337218215,975120.485943933,1522375.1015861875,1.465613737410955,TYC 4357-177-1,379997.9676851261,359159.28413418506,549061.8055055293,1.4449072158209353
2025-04-06 02:06:07.770,2460771.5875899307,1.658966,XO-6,979946.7535283219,934707.4127794923,1510654.3421474406,1.5415677808087973,TYC 4357-177-1,334855.03510734515,347281.38482336205,519758.10310838826,1.552188405773168
2025-04-06 02:06:51.739,2460771.588098831,1.660669,XO-6,989374.5184609274,947820.4704973791,1539153.1809780484,1.555683062640786,TYC 4357-177-1,354664.56703518704,308413.1301592879,536268.970235246,1.5120455215421664
2025-04-06 02:07:35.867,2460771.5886095716,1.662385,XO-6,965335.3208467995,896670.2016076584,1498131.7419892487,1.5519288579175534,TYC 4357-177-1,420617.88178004936,358142.57026809355,506890.28687276854,1.2051087431842304
