obs_date_time,JD,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-02-07 03:09:05.076,2460713.63130875,983703.7812430355,976124.631300092,1933894.7407924787,1.9659319987046868,834708.4565715815,493231.942780445,1040970.9861044682,1.247107271897153
2025-02-07 03:10:10.031,2460713.632060544,1103575.6168263056,947837.7244555112,1971603.3699673198,1.786559380169447,903718.6650361526,487947.13422719453,976527.2276904094,1.0805655183091125
2025-02-07 03:11:15.240,2460713.6328152777,1007574.4258974001,949278.5416734624,1947736.1491767233,1.9330940713803493,587776.6743630264,496464.3736156193,992543.9167554074,1.6886412136565767
2025-02-07 03:12:20.426,2460713.6335697453,816854.7506315974,955079.4400116989,1848451.1974457246,2.2628884707060712,751144.5677822373,483793.26339770306,978109.4151869013,1.3021586750933716
2025-02-07 03:13:25.591,2460713.63432397,896753.6801687188,1016962.4331430609,1828052.454281157,2.0385223888205513,1172223.769501461,512317.49878846324,942534.1760950184,0.804056529664018
2025-02-07 03:14:30.516,2460713.635075417,719450.2541963175,891855.625175362,1935757.8603254545,2.690606958625441,467153.12749147875,477643.9149806545,996242.536940484,2.132582398174475
2025-02-07 03:15:35.668,2460713.6358294906,811047.0932328016,968506.2082491262,1796693.2611126257,2.215276124042412,631451.130120024,494826.34783125867,1023790.034792426,1.62132900862467
2025-02-07 03:17:11.018,2460713.6369330785,886579.1349555539,956305.0354253935,1933785.9424745191,2.181176914987362,914296.9814815414,490370.1535319676,976751.2667092595,1.068308532667926
2025-02-07 03:18:16.117,2460713.6376865394,1106210.4211994763,925843.0894096035,1939937.5582168729,1.7536786139777791,1191405.223596781,501239.9071591066,1036912.7522106349,0.8703275188606756
2025-02-07 03:19:21.180,2460713.638439583,842397.4365476193,986673.2470552021,1925758.1117218514,2.2860446010070348,572962.4448610643,499783.4603483542,1003021.2951812604,1.7505882002868087
2025-02-07 03:20:26.266,2460713.6391928936,1137601.9673719332,967802.339540695,1939992.8852325352,1.7053353816838683,834154.0426224227,515135.5733560691,1056755.1762321221,1.2668585443881366
2025-02-07 03:21:31.390,2460713.6399466437,994262.333464598,985434.124844539,1935600.3095640712,1.9467702279531147,1013811.1797338257,498469.19216831605,1018207.631008398,1.004336558288622
2025-02-07 03:22:36.406,2460713.6406991435,769622.7938414507,942359.4330420012,1812400.3189128966,2.3549202718731683,448154.3028755399,489182.6657046422,1043387.4791156803,2.3281880201102227
2025-02-07 03:23:41.406,2460713.6414514584,1226097.4021286755,970582.4888994825,1897958.5768285394,1.5479672116859717,951675.0261243981,504600.9096222886,1001284.1927744364,1.052128263628044
2025-02-07 03:24:46.552,2460713.642205463,986136.9635949946,980566.6799634484,1900435.5960830345,1.9271517712457855,662138.3102255957,489794.9678671835,1044482.436693653,1.5774384604597032
2025-02-07 03:25:51.601,2460713.642958345,1145660.6155261851,956089.9377373358,1931692.9528944718,1.6860952770094777,1051270.3876174116,502249.478305942,993365.3242695737,0.9449189627807616
2025-02-07 03:26:56.632,2460713.6437110184,787807.0015599573,977074.2127432482,1898848.2318307364,2.4102962122331704,713057.4464695464,500497.1573656442,996137.9086212281,1.396995310200118
2025-02-07 03:28:32.014,2460713.644814977,881465.0458207859,980152.837387518,1950293.28128185,2.212558842269024,725804.7619128661,513621.68144491385,1051486.4445815776,1.4487180296397806
2025-02-07 03:29:36.885,2460713.6455657985,803817.2603169899,972542.4439406669,1912622.5831049385,2.379424624883876,609905.9516994571,511290.3063443219,1038537.4115210243,1.7027828776341956
2025-02-07 03:30:41.850,2460713.6463177083,875461.6148189455,924518.9628753525,1934906.7917909753,2.210156058288328,825932.3332667456,506841.0519784954,1045990.4944677845,1.2664360654469842
2025-02-07 03:31:46.992,2460713.6470716665,995721.7936450018,1028599.2134999548,1926063.1512717449,1.93433865118195,799539.2651709365,519444.3116965936,1013951.1315235689,1.2681692765980574
2025-02-07 03:32:51.921,2460713.6478231596,916829.7537793751,989075.1514900841,1878467.603565493,2.048872864151751,909311.4523369825,502063.3723924326,1085805.5744192672,1.194096446964002
2025-02-07 03:33:56.932,2460713.6485756016,978328.9497446198,884314.4853201312,1976480.3709794811,2.020261560792427,739093.1861946542,479733.2348509846,1013917.6600589085,1.3718400859291295
2025-02-07 03:35:01.889,2460713.6493274188,890980.6121852944,942823.1236983134,1995365.3655309658,2.2395160323825274,722282.9984543631,503103.82266388886,1048856.79317359,1.452141051939576
2025-02-07 03:36:06.996,2460713.6500809724,1131149.841077311,958394.7263254942,1935061.5958746604,1.710703149665566,613580.9275945544,507392.5714682091,1022076.2554976123,1.6657562344783081
2025-02-07 03:37:11.952,2460713.650832778,918734.0573848977,989642.950948901,1851996.8456999345,2.015813859095954,536188.3386030756,508870.2932728365,997597.2197884131,1.8605350918064352
2025-02-07 03:38:16.982,2460713.6515854397,1031858.3538705822,1049942.2694953526,1909931.6438908332,1.850963009337986,719299.7592501449,539836.7865252171,1041345.9381952552,1.4477217944307903
