obs_date_time,JD,airmass,target_name,tmid,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2024-02-26 04:44:14.343,2460366.697388229,1.01607,KELT-4,2460366.7809,22347979.917179357,24151396.760733753,26399054.239651322,1.1812725059484155,TYC 1973-1054-1,22347979.917179357,24151396.760733753,26399054.239651322,1.1812725059484155
2024-02-26 04:45:24.344,2460366.698198426,1.015257,KELT-4,2460366.7809,23552975.167617764,21947662.148347326,25470284.786652222,1.0814041370735408,TYC 1973-1054-1,23552975.167617764,21947662.148347326,25470284.786652222,1.0814041370735408
2024-02-26 04:46:34.348,2460366.6990086576,1.014474,KELT-4,2460366.7809,21252809.514158227,21817093.60003595,26584726.12032549,1.2508805531153535,TYC 1973-1054-1,21252809.514158227,21817093.60003595,26584726.12032549,1.2508805531153535
2024-02-26 04:47:44.348,2460366.6998188426,1.013736,KELT-4,2460366.7809,21592442.852373533,22401592.231722713,18816290.04847066,0.8714294245035964,TYC 1973-1054-1,21592442.852373533,22401592.231722713,18816290.04847066,0.8714294245035964
2024-02-26 04:53:34.344,2460366.7038697223,1.010289,KELT-4,2460366.7809,20580763.75569323,22754945.698515043,21544858.405216552,1.0468444544122726,TYC 1973-1054-1,20580763.75569323,22754945.698515043,21544858.405216552,1.0468444544122726
2024-02-26 04:54:44.348,2460366.704679954,1.009652,KELT-4,2460366.7809,23327174.20928266,21816511.82189397,18903646.49132351,0.8103701855067005,TYC 1973-1054-1,23327174.20928266,21816511.82189397,18903646.49132351,0.8103701855067005
2024-02-26 04:55:54.314,2460366.7054897454,1.009038,KELT-4,2460366.7809,21099068.422908183,25093570.35369344,29543651.955996804,1.400234899656516,TYC 1973-1054-1,21099068.422908183,25093570.35369344,29543651.955996804,1.400234899656516
2024-02-26 04:58:14.343,2460366.7071104515,1.007912,KELT-4,2460366.7809,20813355.300536357,21958034.9053765,25443727.504402913,1.2224712035616494,TYC 1973-1054-1,20813355.300536357,21958034.9053765,25443727.504402913,1.2224712035616494
2024-02-26 04:59:24.344,2460366.707920648,1.007374,KELT-4,2460366.7809,21770156.797996975,20427330.505708102,21248050.906103447,0.9760173573053196,TYC 1973-1054-1,21770156.797996975,20427330.505708102,21248050.906103447,0.9760173573053196
2024-02-26 05:00:34.344,2460366.708730833,1.006861,KELT-4,2460366.7809,24829972.24646174,22883988.04141709,20393420.652395643,0.8213227324610359,TYC 1973-1054-1,24829972.24646174,22883988.04141709,20393420.652395643,0.8213227324610359
2024-02-26 05:01:15.412,2460366.7092061574,1.006559,KELT-4,2460366.7809,23159405.067780767,20681814.27728739,24312997.517233953,1.0498109707946712,TYC 1973-1054-1,23159405.067780767,20681814.27728739,24312997.517233953,1.0498109707946712
