obs_date_time,JD,airmass,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-03-03 01:06:57.679,2460737.5465009143,1.001552,379173.91454290756,141227.55209599074,396160.0398272042,1.0447977158575725,2556477.041846152,2149014.4168675602,2383532.941335347,0.9323506146623113
2025-03-03 01:09:50.118,2460737.548496736,1.001132,655551.817984457,185701.9346326941,385113.50297071115,0.5874646250768877,2601911.045368723,2164274.563526889,2334907.468119224,0.8973817426522891
2025-03-03 01:11:05.164,2460737.549365324,1.000986,799485.6599773596,155237.98839561365,394438.91594803025,0.4933658421830859,2381406.7477596872,2104972.8580999654,2332260.8611665936,0.9793626659371283
2025-03-03 01:12:20.238,2460737.5502342363,1.000867,323062.19829297974,148309.3722092522,371848.0315903677,1.1510106522990502,2574751.1062746914,2167409.312083689,2498567.3239541617,0.9704112051316847
2025-03-03 01:13:35.353,2460737.5511036227,1.000775,532810.0894064511,152594.1192226579,411494.4113092773,0.7723097206505246,2289223.629454535,2040577.4794391373,2206484.4945824356,0.9638571200264021
2025-03-03 01:14:59.701,2460737.5520798727,1.000697,864844.6100498103,149448.6667987325,394645.42944330047,0.456319464626797,2427339.0393536747,2100804.4344722186,2348503.3186346246,0.9675217514154753
2025-03-03 01:16:15.511,2460737.5529573034,1.000652,254505.76095055466,162168.38516067818,383881.4753978978,1.5083410055793522,2491685.152196332,2093437.9372182512,2197919.296187417,0.8821015344775922
2025-03-03 01:17:30.401,2460737.5538240857,1.000629,501785.7389414195,152772.7627900003,435497.31480802497,0.867894961954801,2387689.509066496,2036219.8935774008,2160149.3212412065,0.9047027735552392
2025-03-03 01:18:45.093,2460737.5546885766,1.00063,891688.3545849053,168245.45634267683,439135.6410388316,0.49247659093098284,2375327.6328843366,2028882.029249871,2150589.0356026012,0.9053862742257422
2025-03-03 01:20:35.009,2460737.5559607525,1.000696,1455504.2626021586,983938.3973763442,682436.5159531719,0.4688660373505936,57942.040777554044,117813.78742413384,44856.75955808168,0.7741660279155818
2025-03-03 01:20:46.654,2460737.5560955326,1.000701,988431.5296317668,759755.0071748839,270421.19893294876,0.2735861724622365,45607.358879554806,52101.262766832595,109668.00921005268,2.4046121482210068
2025-03-03 01:20:58.164,2460737.55622875,1.000734,1130098.6927244684,1377333.17298305,184648.67334096512,0.1633916351994088,61648.7957938183,48669.039081540854,47037.53537751661,0.7629919574557723
2025-03-03 01:21:15.189,2460737.5564257987,1.000719,1798390.8931459605,199914.85075937142,220458.9549033301,0.12258678340929369,58796.935863163584,39823.19917251834,53929.78966582075,0.9172210911012436
2025-03-03 02:02:06.149,2460737.584793391,1.016016,168504.39679059296,137446.46466942324,339544.1269888367,2.015046096457658,2689787.7182870763,2212794.3431249703,2511466.932634861,0.9337045133934309
2025-03-03 02:03:22.049,2460737.5856718635,1.016882,204057.17051214087,139946.36072710977,367752.48032881547,1.8022031737764155,2618373.0661620167,2204908.3582417583,2408699.4875080106,0.9199221908582556
2025-03-03 02:04:37.756,2460737.5865481016,1.017805,280193.31997320656,150193.53776379026,307391.5288191625,1.097069440658174,2452904.079865545,1957113.7502169362,2345240.4021867607,0.9561076690431833
2025-03-03 02:07:08.827,2460737.588296609,1.019706,154204.31608860125,145118.9422525929,295819.0880201927,1.9183580299414174,2490950.380370872,1906445.9368121282,2243647.059869086,0.90071929073715
2025-03-03 02:08:24.595,2460737.589173553,1.02068,292538.6802404556,142384.9627505314,345118.1927255486,1.1797352488288886,2594309.338966381,2195786.266372699,2519160.0881121373,0.9710330415399945
2025-03-03 02:09:40.676,2460737.5900541204,1.021684,360454.8726068458,127684.13933146202,328984.68026466016,0.9126931143568956,2669667.8783074575,2119044.4556477373,2576285.77620533,0.9650210788911575
2025-03-03 02:10:55.655,2460737.590921933,1.022712,395896.7976074598,163498.18274931423,347587.92033296515,0.8779760847613777,2617300.737125387,2221243.7411540924,2528550.725219416,0.9660910148203121
2025-03-03 02:12:10.595,2460737.591789294,1.023762,373106.5691186389,175265.4648845774,295329.82685724634,0.7915428226173595,2548869.7896132222,1876882.4016441347,2340557.2630910184,0.9182725899255081
2025-03-03 02:13:26.451,2460737.592667257,1.024828,200815.65954454555,234214.8962876929,377735.34288540005,1.8810054143293025,2538788.1974809375,2239532.4014677634,2592714.679948762,1.0212410324426953
